0	For treatment of uncomplicated cervical, $URETHRAL OR RECTAL GONORRHEA$ CDC and others recommend IM ceftriaxone or oral cefixime; #IM CEFTRIAXONE# is drug of choice for pharyngeal infections.	7	treats1	treats2	1
1	Diagnosis specific malignancies available for evaluation included ALL, acute myeloid leukaemia (AML), Hodgkin's disease, NHL, rhabdomyosarcoma, neuroblastoma, retinoblastoma, $OSTEOSARCOMA$ Wilms' tumour, #RETINOBLASTOMA# Ewings' sarcoma, central nervous system (CNS) tumours and hepatoblastoma.	9	diagnosed by1	diagnosed by2	1
2	Acute steady state moderate exercise significantly altered circulating IgE concentrations in volunteers with known $ALLERGY$ while IgE concentrations in #NON ALLERGY# sufferers did not change.	3	contraindicates1	contraindicates2	1
3	$SALMETEROL$ prevented #EXERCISE INDUCED ASTHMA# in all 13 children studied, at 1, 5, and 9 hours.	8	treats2	treats1	2
4	The patients showed the characteristic facies of the $CORNELIA DE LANGE SYNDROME$ with #SYNOPHRYS# long curly eyelashes and small upturned nose, and physical features, including generalized hirsutism, monodactyly, syndactyly and clinodactyly.	2	causes2	causes1	2
5	Dyskinesias occur in the majority of patients with $PARKINSON'S DISEASE$ chronically treated with #L DOPA# and also occur in several nonhuman primate species after 1 methyl 4phenyl 1,2,3,6 tetrahydropyridine (MPTP) and #L DOPA# treatment.	7	treats1	treats2	1
6	$ENDOTOXEMIA$ was evoked by bolus injection of #ESCHERICHIA COLI ENDOTOXIN# (2 ng/kg body weight) in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia.	2	causes2	causes1	2
7	It is said that the $JOINTS$ of the affected limb by poliomyelitis are protected from the development of #OSTEOARTHRITIS#	5	location1	location2	1
8	During $ERGONOVINE$ test a patient with #PRINZMETAL ANGINA# presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.	10	diagnosed by2	diagnosed by1	2
9	A possible role of LEU in sensomotor cortex is limitation of intensity and duration of $SEIZURES$ and prevention of #STATUS EPILEPTICUS#	1	causes1	causes2	1
10	Diclofenac sodium was found to be as effective as $PREDNISOLONE ACETATE$ for control of #POSTOPERATIVE INFLAMMATION# and as effective as flurbiprofen for inhibition of intraoperative miosis.	8	treats2	treats1	2
11	This case demonstrates a typical presentation of pheochromocytoma and the need to consider $PHEOCHROMOCYTOMA$ early in the differential diagnosis of hypertensive emergency or difficult to control #HYPERTENSION#	2	causes2	causes1	2
